feature_id,total_times_active,average_activated_value,std_activated_value,total_times_active_hot,average_activated_value_hot,std_activated_value_hot,total_times_active_cold,average_activated_value_cold,std_activated_value_cold,delta_total_times_active,delta_average_activated_value
6350,262,1.061364,0.896907,62,0.874377,0.860173,200,1.11933,0.90014,-138,-0.244953
14726,258,1.389461,1.146763,60,0.379637,0.308493,198,1.695468,1.132289,-138,-1.315831
3661,829,1.12456,1.185726,483,1.088923,1.117211,346,1.174307,1.273561,137,-0.085384
8059,268,1.661459,1.280763,202,1.791075,1.354649,66,1.264757,0.914111,136,0.526318
12354,982,1.534964,1.014123,423,1.191867,0.920381,559,1.794588,1.004583,-136,-0.602721
7657,142,5.089915,4.657579,139,5.158211,4.683942,3,1.925524,0.230617,136,3.232687
9391,2904,3.599502,2.54566,1519,3.887905,2.677445,1385,3.283197,2.352487,134,0.604707
17719,2068,161.738277,166.785857,1100,152.045449,166.193772,968,172.752855,166.773725,132,-20.707406
12599,199,1.715132,1.417244,34,1.994792,2.159969,165,1.657505,1.200694,-131,0.337286
18085,781,1.887285,1.231776,456,2.165696,1.205075,325,1.496654,1.160696,131,0.669042
3962,209,0.504856,0.471413,39,0.350344,0.313355,170,0.540302,0.493916,-131,-0.189958
4670,144,3.294184,2.491406,137,3.346644,2.366806,7,2.267461,4.116592,130,1.079183
12424,472,0.733596,0.594908,301,0.7521,0.563301,171,0.701025,0.645515,130,0.051075
7295,169,2.882312,1.418242,20,0.687451,0.740435,149,3.176925,1.21424,-129,-2.489473
23070,848,1.698518,2.32143,360,1.612088,2.352196,488,1.762278,2.296386,-128,-0.15019
22045,386,0.767197,0.663752,130,0.761595,0.745871,256,0.770041,0.617867,-126,-0.008446
14183,146,0.726078,0.557688,10,0.425391,0.369491,136,0.748187,0.562769,-126,-0.322796
17016,205,0.697042,0.769057,165,0.732387,0.827591,40,0.551246,0.423702,125,0.18114
9887,178,1.399621,1.08304,27,1.233432,1.180733,151,1.429337,1.06189,-124,-0.195904
5666,144,1.387281,1.475083,10,0.361581,0.279376,134,1.463826,1.49935,-124,-1.102244
21191,314,1.858173,1.346714,218,1.748709,1.128084,96,2.106749,1.718517,122,-0.358041
11383,210,1.393677,1.309532,44,1.196079,1.69265,166,1.446052,1.18191,-122,-0.249973
14365,189,0.736096,0.689027,34,0.652368,0.605014,155,0.754463,0.704791,-121,-0.102095
10135,120,2.656155,2.371418,120,2.656155,2.371418,0,0.0,0.0,120,2.656155
10583,159,0.871709,0.661458,20,0.68521,0.522852,139,0.898544,0.674849,-119,-0.213333
10487,126,2.228623,1.324894,4,1.110014,0.817156,122,2.265298,1.322359,-118,-1.155285
8307,121,0.924462,1.002795,119,0.910323,0.997333,2,1.765786,0.967445,117,-0.855463
4073,563,1.093817,0.855276,224,1.256774,1.040384,339,0.986141,0.685923,-115,0.270633
22856,211,0.580374,0.484343,163,0.631426,0.504362,48,0.407011,0.358426,115,0.224415
