feature_id,count_total,count_happy,count_sad,count_diff,mean_total,mean_happy,mean_sad,mean_diff
9978,39,24,15,9,2.049188,2.456646,1.397256,1.059389
9980,41,16,25,-9,1.818157,1.688609,1.901067,-0.212458
10004,23,7,16,-9,1.374063,0.814797,1.618742,-0.803946
10011,13,2,11,-9,0.836982,0.554262,0.888386,-0.334124
10036,27,18,9,9,1.402617,1.529454,1.148942,0.380512
10064,15,3,12,-9,1.386404,0.742852,1.547292,-0.80444
10087,13,11,2,9,2.430618,2.668964,1.119714,1.549251
10152,125,67,58,9,1.732561,1.644897,1.833828,-0.188931
10190,73,41,32,9,1.365919,1.272632,1.485443,-0.212811
10205,25,8,17,-9,2.524463,2.488257,2.541501,-0.053244
10233,127,59,68,-9,1.555846,1.408202,1.683949,-0.275748
10247,25,8,17,-9,1.359851,1.031837,1.51421,-0.482373
10306,149,70,79,-9,2.436488,2.490628,2.388517,0.102111
10314,11,1,10,-9,1.49498,2.131827,1.431295,0.700532
10341,85,38,47,-9,1.303722,1.121071,1.451398,-0.330327
10362,171,90,81,9,2.507869,2.87846,2.096101,0.782359
10372,9,9,0,9,1.575938,1.575938,0.0,1.575938
10471,29,19,10,9,2.133403,2.429486,1.570844,0.858642
10495,95,43,52,-9,0.982532,0.93954,1.018084,-0.078544
10514,31,11,20,-9,0.971246,1.319246,0.779846,0.539399
10542,13,2,11,-9,1.545202,1.292258,1.591192,-0.298934
10561,27,9,18,-9,1.028958,1.049723,1.018575,0.031148
10630,111,51,60,-9,1.683989,1.413862,1.913597,-0.499735
10666,9,9,0,9,4.325211,4.325211,0.0,4.325211
10695,37,23,14,9,0.966106,1.09601,0.752693,0.343317
10705,29,10,19,-9,1.099016,0.936344,1.184632,-0.248288
10740,11,10,1,9,2.211579,2.419092,0.136454,2.282638
10896,67,29,38,-9,2.114265,1.697709,2.432163,-0.734454
10929,59,25,34,-9,1.623701,1.617326,1.628389,-0.011063
10971,41,16,25,-9,2.344242,1.937521,2.604544,-0.667024
11046,63,27,36,-9,1.453013,1.24602,1.608258,-0.362237
11091,33,21,12,9,1.758727,1.689031,1.880694,-0.191663
11110,103,47,56,-9,3.030529,2.618208,3.376584,-0.758375
11177,151,71,80,-9,1.505018,1.529464,1.483322,0.046142
11217,211,110,101,9,1.313204,1.363789,1.258111,0.105678
11225,95,52,43,9,2.501066,2.764688,2.182268,0.58242
11269,41,25,16,9,0.917041,1.023712,0.750367,0.273345
11299,27,9,18,-9,1.042957,0.655585,1.236643,-0.581058
11322,9,0,9,-9,0.775271,0.0,0.775271,-0.775271
11395,39,24,15,9,1.450707,1.347994,1.615049,-0.267055
11446,31,20,11,9,1.504429,1.351277,1.782889,-0.431612
11522,79,35,44,-9,2.242387,1.691388,2.680682,-0.989295
11529,55,23,32,-9,3.2715,1.756655,4.360296,-2.603641
11628,15,3,12,-9,0.674051,0.411766,0.739622,-0.327856
11720,43,17,26,-9,0.838089,0.744316,0.899401,-0.155085
11726,27,9,18,-9,2.047791,1.746826,2.198273,-0.451447
11733,41,16,25,-9,3.620357,1.868882,4.7413,-2.872419
11746,339,165,174,-9,6.349662,6.560885,6.149366,0.411519
11750,15,3,12,-9,0.51794,0.605566,0.496034,0.109532
11810,13,2,11,-9,2.895899,0.225991,3.381336,-3.155345
11826,39,24,15,9,0.528101,0.564921,0.469187,0.095735
11895,225,117,108,9,2.375843,2.483284,2.259448,0.223836
11911,31,20,11,9,1.271997,1.077836,1.625016,-0.54718
11935,65,28,37,-9,2.173991,2.397145,2.005117,0.392028
11941,65,37,28,9,1.318255,1.453404,1.139666,0.313739
11985,23,16,7,9,5.873123,6.798239,3.758573,3.039666
11987,17,4,13,-9,1.36136,1.179163,1.417421,-0.238259
11990,17,4,13,-9,1.090675,0.668715,1.22051,-0.551795
12087,21,15,6,9,1.756894,1.795477,1.660437,0.13504
12104,15,12,3,9,1.934739,1.837345,2.324316,-0.486971
12126,63,36,27,9,1.294945,1.497664,1.024652,0.473011
12196,51,30,21,9,2.046315,2.504215,1.392173,1.112042
12424,553,272,281,-9,2.764444,2.951448,2.583429,0.368019
12437,33,12,21,-9,2.025884,1.899637,2.098025,-0.198388
12491,29,10,19,-9,1.715881,1.13757,2.020255,-0.882685
12493,23,7,16,-9,0.812791,0.744411,0.842707,-0.098297
12545,17,13,4,9,1.488085,1.483734,1.502228,-0.018494
12571,51,21,30,-9,1.543438,1.601466,1.502819,0.098647
12577,15,3,12,-9,1.337437,1.474748,1.303109,0.171639
12602,19,14,5,9,1.477974,1.550246,1.27561,0.274636
12698,107,49,58,-9,2.400607,2.702083,2.145911,0.556173
12699,21,6,15,-9,2.973635,2.396037,3.204675,-0.808638
12763,13,2,11,-9,2.546949,0.928013,2.841301,-1.913289
12784,13,2,11,-9,1.023317,0.351692,1.14543,-0.793738
12810,25,17,8,9,1.891659,1.825926,2.03134,-0.205414
12830,13,11,2,9,1.664935,1.841864,0.691826,1.150037
12845,27,18,9,9,1.509802,1.298779,1.93185,-0.633071
12908,17,13,4,9,1.62589,1.459242,2.167496,-0.708254
12948,29,19,10,9,1.211701,1.249503,1.139877,0.109626
12976,15,3,12,-9,1.390822,1.298532,1.413894,-0.115362
13015,13,11,2,9,1.615579,1.786081,0.677816,1.108265
13046,641,316,325,-9,1.932888,1.959473,1.907038,0.052435
13064,11,10,1,9,1.101985,1.20106,0.111226,1.089834
13138,25,8,17,-9,2.079843,1.935786,2.147635,-0.211849
13209,21,6,15,-9,2.034028,1.816856,2.120896,-0.304041
13215,25,8,17,-9,0.823005,0.664923,0.897396,-0.232473
13255,35,13,22,-9,0.626197,0.519283,0.689374,-0.170091
13296,111,51,60,-9,1.879894,1.865332,1.892271,-0.026939
13395,521,256,265,-9,2.418501,2.236379,2.594438,-0.358058
13399,123,66,57,9,3.36352,3.499044,3.206598,0.292446
13433,71,40,31,9,2.350112,2.588308,2.042761,0.545547
13505,15,3,12,-9,0.518017,0.230631,0.589864,-0.359233
13644,85,38,47,-9,1.964244,1.786782,2.107724,-0.320943
13682,31,20,11,9,1.585724,1.622113,1.519563,0.10255
13686,87,48,39,9,3.389458,2.649712,4.299916,-1.650204
13798,381,186,195,-9,2.048153,2.213079,1.890839,0.32224
13805,15,3,12,-9,1.366963,1.340429,1.373596,-0.033167
13842,13,2,11,-9,2.086313,0.384765,2.395685,-2.01092
13894,73,41,32,9,1.603117,1.552752,1.667646,-0.114893
13901,33,12,21,-9,2.464594,2.252493,2.585794,-0.333301
13936,25,8,17,-9,1.791718,1.559092,1.90119,-0.342098
14019,17,13,4,9,3.928404,4.79905,1.098803,3.700248
14079,15,12,3,9,0.955238,1.017296,0.707009,0.310287
14091,13,2,11,-9,1.424584,1.423937,1.424701,-0.000764
14214,141,66,75,-9,1.697715,1.299437,2.048199,-0.748761
14217,95,52,43,9,2.089163,2.349214,1.774684,0.57453
14219,37,23,14,9,0.878389,0.641937,1.266846,-0.624909
14223,37,14,23,-9,1.744589,1.542637,1.867517,-0.32488
14267,43,26,17,9,0.894278,0.856,0.95282,-0.09682
14301,129,60,69,-9,2.024127,2.141421,1.922131,0.21929
14309,23,16,7,9,3.600036,4.469885,1.61181,2.858075
14347,9,0,9,-9,11.385472,0.0,11.385472,-11.385472
14407,89,49,40,9,1.831584,1.862352,1.793892,0.06846
14412,49,20,29,-9,1.914262,2.080751,1.799442,0.281308
14531,23,16,7,9,1.701436,1.680645,1.748958,-0.068313
14537,27,9,18,-9,1.711452,1.806328,1.664014,0.142315
14610,133,62,71,-9,1.518321,1.696669,1.362581,0.334089
14616,87,48,39,9,0.86646,0.884173,0.844659,0.039513
14666,25,8,17,-9,5.756408,7.427603,4.969963,2.45764
14672,39,24,15,9,1.98667,2.517986,1.136565,1.381421
14774,45,27,18,9,1.258875,1.42568,1.008668,0.417011
14957,13,2,11,-9,2.335753,1.195483,2.543075,-1.347593
14991,231,120,111,9,1.254017,1.326895,1.17523,0.151665
15003,35,13,22,-9,3.320866,2.612139,3.739659,-1.127519
15048,127,68,59,9,1.862859,1.822269,1.909641,-0.087372
15087,29,19,10,9,1.64971,1.538766,1.860503,-0.321737
15100,13,2,11,-9,2.512007,0.375045,2.900546,-2.525501
15118,9,0,9,-9,1.896024,0.0,1.896024,-1.896024
15129,73,32,41,-9,1.727124,2.181823,1.372236,0.809587
15130,27,18,9,9,1.724391,1.668026,1.837122,-0.169096
15192,21,15,6,9,0.814877,0.83265,0.770445,0.062206
15197,27,9,18,-9,2.083093,1.646098,2.301591,-0.655493
15209,55,32,23,9,2.257711,2.182157,2.36283,-0.180673
15246,21,6,15,-9,4.660404,1.805663,5.8023,-3.996637
15249,61,26,35,-9,1.523298,1.370123,1.637086,-0.266962
15335,115,62,53,9,1.743242,1.772526,1.708986,0.063541
15337,69,30,39,-9,1.949004,1.497939,2.295977,-0.798038
15383,17,13,4,9,2.578426,2.87662,1.609294,1.267326
15432,11,10,1,9,1.273324,1.26276,1.378958,-0.116198
15460,27,9,18,-9,1.440979,1.523731,1.399603,0.124128
15554,61,26,35,-9,2.342481,2.914193,1.91778,0.996413
15561,25,8,17,-9,1.027589,0.878543,1.097728,-0.219185
15600,21,6,15,-9,1.484341,0.930708,1.705795,-0.775087
15607,77,34,43,-9,1.830808,1.615904,2.000733,-0.384828
15733,17,13,4,9,1.347985,1.381016,1.240631,0.140385
15787,17,4,13,-9,1.390275,0.872242,1.54967,-0.677428
15845,43,26,17,9,1.968307,1.517781,2.657347,-1.139566
15950,51,30,21,9,1.064319,1.099155,1.014554,0.084601
16048,61,35,26,9,1.5386,1.742784,1.263738,0.479045
16143,15,3,12,-9,1.032147,1.130571,1.007541,0.123029
16157,27,9,18,-9,1.98542,1.949746,2.003257,-0.05351
16177,21,6,15,-9,1.155938,1.723562,0.928888,0.794675
16189,11,1,10,-9,3.554425,0.157225,3.894145,-3.73692
16213,11,10,1,9,3.936172,3.764832,5.649571,-1.884739
16297,137,64,73,-9,2.185674,1.951063,2.39136,-0.440296
16305,57,24,33,-9,1.675112,1.52288,1.785826,-0.262947
16306,13,11,2,9,4.739958,4.388214,6.674548,-2.286335
16314,51,30,21,9,2.106725,2.499953,1.544972,0.95498
16354,17,4,13,-9,2.261635,2.08118,2.31716,-0.23598
16402,289,149,140,9,0.853164,0.846728,0.860014,-0.013286
16417,15,3,12,-9,0.925998,0.302849,1.081785,-0.778936
